INTERFACE_ID,SOURCE,SOURCE_ID,INV_DATE,GL_DATE,CURRENCY,CLASS,TYPE,LEGAL_ENTITY,DOCUMENT_NUM,TRANSACTION,REFERENCE,SHIP_TO_ID,SHIP_TO_NAME,SHIP_TO_NUMBER,SHIP_TO_LOCATION,SHIP_TO_ADDRESS1,SHIP_TO_ADDRESS2,SHIP_TO_ADDRESS3,SHIP_TO_CONTACT,BILL_TO_ID,BILL_TO_NAME,BILL_TO_NUMBER,BILL_TO_LOCATION,BILL_TO_ADDRESS1,BILL_TO_ADDRESS2,BILL_TO_ADDRESS3,BILL_TO_CONTACT,SOLD_TO_ID,SOLD_TO_NAME,SOLD_TO_NUMBER,PAYING_CUST_NAME,PAY_CUST_NUMBER,PAY_CUST_LOCATION,RECIEPT_METHOD_ID,RECIEPT_METHOD,PAYMENT_METHOD,INSTRUMENT_NAME,PAYMENT_TERM_ID,PAYMENT_TERM,COMMITMENT,INVOICING_RULE,DUE_DATE,OPERATING_UNIT_ID,OPERATING_UNIT,PRINT_OPTION,PRINT_DATE,STATUS,AGREEMENT,ORIGINAL_TRANSACTION,CROSS_REFERENCE,DISPUTE_AMOUNT,DISPUTE_DATE,TERRITORY,SALESPERSON,SALESPERSON_ID,PURCHASE_ORDER_NUMBER,REVISION,REVISION_DATE,REMIT_ADDRESS_ID,REMIT_TO_ADDRESS1,REMIT_TO_ADDRESS2,REMIT_TO_ADDRESS3,NOTES,NOTE_DATE,MEMO
,,Online,101,2024-11-01,2024-11-01,USD,INV,Standard,Entity A,1001,Sales,Ref001,201,ShipTo A,5001,Location A,Address1 A,Address2 A,Address3 A,John Doe,301,BillTo A,6001,Location B,Address1 B,Address2 B,Address3 B,Jane Doe,401,SoldTo A,7001,Customer A,8001,Location X,1,Cash,Credit Card,Instrument A,10,Net 30,None,Immediate,2024-11-30,501,OU1,Y,2024-11-02,Open,Agree001,OrigTxn001,CrossRef001,0.00,,North,Sales A,9001,PO001,RevA,2024-11-01,1001,Remit Addr1 A,Remit Addr2 A,Remit Addr3 A,Note A,2024-11-01,Memo A
,,Offline,102,2024-11-03,2024-11-04,EUR,CM,Advance,Entity B,1002,Return,Ref002,202,ShipTo B,5002,Location C,Address1 C,,,Jack Smith,302,BillTo B,6002,Location D,Address1 D,,,Emma Brown,402,SoldTo B,7002,Customer B,8002,Location Y,2,Card,Bank Transfer,Instrument B,11,Net 15,Commitment A,Rule A,2024-11-18,502,OU2,N,2024-11-04,Closed,Agree002,OrigTxn002,CrossRef002,50.00,2024-11-05,South,Sales B,9002,PO002,RevB,2024-11-03,1002,Remit Addr1 B,,,Remit Note B,2024-11-03,Memo B
,,Web,103,2024-11-05,2024-11-05,INR,INV,Standard,Entity C,1003,Sales,Ref003,203,ShipTo C,5003,Location E,Address1 E,Address2 E,Address3 E,Lily White,303,BillTo C,6003,Location F,Address1 F,Address2 F,Address3 F,Harry Black,403,SoldTo C,7003,Customer C,8003,Location Z,3,Cash,Credit Card,Instrument C,12,Net 45,None,Immediate,2024-12-20,503,OU3,Y,2024-11-06,Pending,Agree003,OrigTxn003,CrossRef003,25.00,2024-11-06,East,Sales C,9003,PO003,RevC,2024-11-05,1003,Remit Addr1 C,Remit Addr2 C,Remit Addr3 C,Note C,2024-11-05,Memo C
,,App,104,2024-11-07,2024-11-08,GBP,INV,Credit,Entity D,1004,Sales,Ref004,204,ShipTo D,5004,Location G,Address1 G,,,Bob Grey,304,BillTo D,6004,Location H,Address1 H,,,Alice Red,404,SoldTo D,7004,Customer D,8004,Location W,4,UPI,Card,Instrument D,13,Net 10,Commitment B,Rule B,2024-11-17,504,OU4,N,2024-11-08,Open,Agree004,OrigTxn004,CrossRef004,0.00,,West,Sales D,9004,PO004,RevD,2024-11-07,1004,Remit Addr1 D,Remit Addr2 D,Remit Addr3 D,Note D,2024-11-07,Memo D
,,Mobile,105,2024-11-09,2024-11-10,AED,CM,Advance,Entity E,1005,Return,Ref005,205,ShipTo E,5005,Location I,Address1 I,Address2 I,Address3 I,Charlie Sky,305,BillTo E,6005,Location J,Address1 J,Address2 J,Address3 J,Luna Stone,405,SoldTo E,7005,Customer E,8005,Location V,5,Bank Transfer,Cash,Instrument E,14,Net 20,None,Rule C,2024-12-01,505,OU5,Y,2024-11-10,Closed,Agree005,OrigTxn005,CrossRef005,100.00,2024-11-11,Central,Sales E,9005,PO005,RevE,2024-11-09,1005,Remit Addr1 E,Remit Addr2 E,Remit Addr3 E,Note E,2024-11-09,Memo E
,,Online,106,2024-11-11,2024-11-11,USD,INV,Standard,Entity F,1006,Sales,Ref006,206,ShipTo F,5006,Location K,Address1 K,Address2 K,Address3 K,John Blue,306,BillTo F,6006,Location L,Address1 L,Address2 L,Address3 L,Sara Pink,406,SoldTo F,7006,Customer F,8006,Location U,6,Cash,Credit Card,Instrument F,15,Net 60,Commitment C,Immediate,2025-01-10,506,OU6,N,2024-11-12,Pending,Agree006,OrigTxn006,CrossRef006,75.00,2024-11-12,North-East,Sales F,9006,PO006,RevF,2024-11-11,1006,Remit Addr1 F,Remit Addr2 F,Remit Addr3 F,Note F,2024-11-11,Memo F
,,Offline,107,2024-11-12,2024-11-13,EUR,INV,Credit,Entity G,1007,Return,Ref007,207,ShipTo G,5007,Location M,Address1 M,,,Jake Green,307,BillTo G,6007,Location N,Address1 N,,,Anna Gold,407,SoldTo G,7007,Customer G,8007,Location T,7,Card,Bank Transfer,Instrument G,16,Net 5,None,Rule D,2024-11-18,507,OU7,Y,2024-11-13,Open,Agree007,OrigTxn007,CrossRef007,120.00,2024-11-14,South-East,Sales G,9007,PO007,RevG,2024-11-12,1007,Remit Addr1 G,,,Remit Note G,2024-11-12,Memo G
,,Web,108,2024-11-13,2024-11-14,INR,INV,Standard,Entity H,1008,Sales,Ref008,208,ShipTo H,5008,Location O,Address1 O,Address2 O,Address3 O,Lucy Violet,308,BillTo H,6008,Location P,Address1 P,Address2 P,Address3 P,Oscar White,408,SoldTo H,7008,Customer H,8008,Location S,8,Cash,Credit Card,Instrument H,17,Net 25,Commitment D,Immediate,2024-12-08,508,OU8,N,2024-11-14,Closed,Agree008,OrigTxn008,CrossRef008,0.00,,West-North,Sales H,9008,PO008,RevH,2024-11-13,1008,Remit Addr1 H,Remit Addr2 H,Remit Addr3 H,Note H,2024-11-13,Memo H
,,App,109,2024-11-14,2024-11-15,GBP,CM,Advance,Entity I,1009,Return,Ref009,209,ShipTo I,5009,Location Q,Address1 Q,,,Mike Silver,309,BillTo I,6009,Location R,Address1 R,,,Nina Bronze,409,SoldTo I,7009,Customer I,8009,Location R,9,UPI,Card,Instrument I,18,Net 35,None,Rule E,2024-12-19,509,OU9,Y,2024-11-15,Open,Agree009,OrigTxn009,CrossRef009,40.00,2024-11-16,East-South,Sales I,9009,PO009,RevI,2024-11-14,1009,Remit Addr1 I,Remit Addr2 I,Remit Addr3 I,Note I,2024-11-14,Memo I
,,Mobile,110,2024-11-15,2024-11-16,AED,INV,Standard,Entity J,1010,Sales,Ref010,210,ShipTo J,5010,Location S,Address1 S,Address2 S,Address3 S,Ella Black,310,BillTo J,6010,Location T,Address1 T,Address2 T,Address3 T,Leo Grey,410,SoldTo J,7010,Customer J,8010,Location Q,10,Bank Transfer,Cash,Instrument J,19,Net 90,Commitment E,Immediate,2025-02-15,510,OU10,N,2024-11-16,Pending,Agree010,OrigTxn010,CrossRef010,60.00,2024-11-17,North-West,Sales J,9010,PO010,RevJ,2024-11-15,1010,Remit Addr1 J,Remit Addr2 J,Remit Addr3 J,Note J,2024-11-15,Memo J
